@RELATION file_test_step_1

@ATTRIBUTE LOC REAL
@ATTRIBUTE LOC_TOUCHED REAL
@ATTRIBUTE NUMBER_OF_REVISIONS REAL
@ATTRIBUTE LOC_ADDED REAL
@ATTRIBUTE AVG_LOC_ADDED REAL
@ATTRIBUTE NUMBER_OF_AUTHORS REAL
@ATTRIBUTE MAX_LOC_ADDED REAL
@ATTRIBUTE TOTAL_LOC_REMOVED REAL
@ATTRIBUTE MAX_LOC_REMOVED REAL
@ATTRIBUTE AVG_LOC_TOUCHED REAL
@ATTRIBUTE BUGGY {NO, YES}

@DATA
137,192,3,180,60.0,1,137,12,8,64,NO
218,253,2,240,120.0,1,218,13,13,126,NO
343,516,5,441,88.2,3,343,75,49,103,NO
87,0,0,0,0.0,0,0,0,0,0,NO
182,441,2,277,138.5,2,266,164,155,220,YES
170,183,4,179,44.75,2,170,4,2,45,YES
722,1146,20,472,23.6,3,93,674,284,57,YES
22,25,2,23,11.5,2,22,2,2,12,NO
58,60,2,55,27.5,2,50,5,5,30,NO
6,7,2,6,3.0,2,6,1,1,3,NO
125,0,0,0,0.0,0,0,0,0,0,NO
140,152,2,147,73.5,1,140,5,5,76,YES
329,546,12,268,22.33333333333333,3,168,278,142,45,YES
9,9,1,9,9.0,1,9,0,0,9,NO
125,164,4,109,27.25,1,70,55,44,41,YES
115,355,4,335,83.75,3,207,20,15,88,YES
233,379,7,350,50.0,3,233,29,17,54,YES
8,8,1,8,8.0,1,8,0,0,8,NO
42,55,2,47,23.5,1,42,8,8,27,NO
109,157,4,135,33.75,2,109,22,21,39,YES
337,387,3,374,124.66666666666669,2,337,13,11,129,YES
105,112,3,109,36.333333333333336,1,105,3,2,37,YES
437,627,8,102,12.75,2,75,525,437,78,YES
44,86,2,45,22.5,1,44,41,41,43,NO
561,697,7,654,93.42857142857144,3,561,43,17,99,YES
10,10,1,10,10.0,1,10,0,0,10,NO
95,202,5,68,13.6,1,34,134,85,40,YES
62,85,2,67,33.5,1,62,18,18,42,YES
24,29,2,26,13.0,1,24,3,3,14,YES
128,11,2,8,4.0,2,6,3,2,5,NO
16,16,1,16,16.0,1,16,0,0,16,YES
83,0,0,0,0.0,0,0,0,0,0,NO
29,0,1,0,0.0,1,0,0,0,0,NO
208,10,1,10,10.0,1,10,0,0,10,YES
189,233,6,129,21.5,3,96,104,62,38,YES
353,86,4,72,18.0,2,56,14,7,21,YES
123,22,3,15,5.0,1,7,7,3,7,YES
25,13,1,9,9.0,1,9,4,4,13,NO
108,16,3,8,2.6666666666666665,2,4,8,5,5,NO
6,5,1,4,4.0,1,4,1,1,5,NO
77,31,2,13,6.5,1,12,18,17,15,YES
24,0,0,0,0.0,0,0,0,0,0,YES
40,0,0,0,0.0,0,0,0,0,0,NO
442,217,9,153,17.0,3,88,64,28,24,YES
140,36,5,35,7.0,3,28,1,1,7,YES
103,8,1,5,5.0,1,5,3,3,8,YES
115,76,6,27,4.5,3,17,49,43,12,YES
36,29,1,22,22.0,1,22,7,7,29,NO
100,6,2,5,2.5,2,4,1,1,3,YES
111,11,3,10,3.333333333333333,2,8,1,1,3,YES
66,81,5,50,10.0,2,29,31,21,16,YES
41,3,1,2,2.0,1,2,1,1,3,YES
41,37,1,21,21.0,1,21,16,16,37,NO
47,0,0,0,0.0,0,0,0,0,0,NO
35,4,2,4,2.0,2,4,0,0,2,YES
59,24,3,23,7.666666666666667,2,8,1,1,8,YES
142,70,6,63,10.5,2,32,7,6,11,YES
